Tiempo_s,Voltaje_V
0,2.17647058823529
0.0002,2.19607843137255
0.0004,2.2156862745098
0.0006,2.19607843137255
0.0008,2.19607843137255
0.001,2.17647058823529
0.0012,2.17647058823529
0.0014,2.19607843137255
0.0016,2.19607843137255
0.0018,2.2156862745098
0.002,2.19607843137255
0.0022,2.17647058823529
0.0024,2.19607843137255
0.0026,2.23529411764706
0.0028,2.25490196078431
0.003,2.27450980392157
0.0032,2.29411764705882
0.0034,2.29411764705882
0.0036,2.31372549019608
0.0038,2.33333333333333
0.004,2.31372549019608
0.0042,2.31372549019608
0.0044,2.35294117647059
0.0046,2.35294117647059
0.0048,2.35294117647059
0.005,2.35294117647059
0.0052,2.35294117647059
0.0054,2.37254901960784
0.0056,2.35294117647059
0.0058,2.35294117647059
0.006,2.37254901960784
0.0062,2.37254901960784
0.0064,2.37254901960784
0.0066,2.35294117647059
0.0068,2.33333333333333
0.007,2.35294117647059
0.0072,2.35294117647059
0.0074,2.35294117647059
0.0076,2.35294117647059
0.0078,2.35294117647059
0.008,2.35294117647059
0.0082,2.33333333333333
0.0084,2.33333333333333
0.0086,2.33333333333333
0.0088,2.35294117647059
0.009,2.35294117647059
0.0092,2.35294117647059
0.0094,2.3921568627451
0.0096,2.3921568627451
0.0098,2.37254901960784
0.01,2.35294117647059
0.0102,2.33333333333333
0.0104,2.33333333333333
0.0106,2.33333333333333
0.0108,2.35294117647059
0.011,2.41176470588235
0.0112,2.47058823529412
0.0114,2.47058823529412
0.0116,2.43137254901961
0.0118,2.41176470588235
0.012,2.3921568627451
0.0122,2.3921568627451
0.0124,2.3921568627451
0.0126,2.35294117647059
0.0128,2.33333333333333
0.013,2.29411764705882
0.0132,2.27450980392157
0.0134,2.27450980392157
0.0136,2.29411764705882
0.0138,2.29411764705882
0.014,2.29411764705882
0.0142,2.29411764705882
0.0144,2.31372549019608
0.0146,2.33333333333333
0.0148,2.35294117647059
0.015,2.35294117647059
0.0152,2.35294117647059
0.0154,2.37254901960784
0.0156,2.35294117647059
0.0158,2.33333333333333
0.016,2.29411764705882
0.0162,2.31372549019608
0.0164,2.37254901960784
0.0166,2.43137254901961
